GeneralComments,count
,34584
Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,596
"Paiement autre - badge RFID Belib ou autre, application Belib, QRCode sur chaque PDC, site internet Belib|Plus d'information - https://belib.paris.fr",278
"Can also be paid with the Octopus Electroverse app, Zap-Pay, Bonnet app, Paua App, or Shell Recharge app. Charge point not fitted with RFID reader or payment terminal.",274
Variable rate based on time of the day,244
Autre paiements : compte prépayé.,225
Planned for future date. Not Operational.,202
"Prise T2-EF<br>Service accessible<br>- aux abonnÃ©s disposant d'un badge de mobilitÃ© Ã©lectrique<br>- aux non abonnÃ©s disposant d'une carte bancaire, via le site www.e-charge50.fr<br>Informations disponibles sur le site www.e-charge50.fr'",118
Variable tariff based on time of day,45
Authentification et paiement via l'application mobile Qovoltis. Egalement accessible en roaming selon les conditions du Emsp,24
