Electric Utility,count
PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),98542
PUGET SOUND ENERGY INC,58233
CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),45996
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),16614
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,12590
PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,6390
BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,4727
BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,2632
PACIFICORP,2446
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,2296
