year,ev_sales,yoy_pct
2010,437336.8371273,
2011,885942.2391143,102.57663290696458
2012,13263097.5071335,1397.0611989775962
2013,21592442.6178557,62.80090383292665
2014,32242235.4793974,49.32185325218805
2015,43762853.0638792,35.73144793835219
2016,58931697.4548292,34.661461328420565
2017,78618349.2278614,33.40587938795061
2018,109293423.113965,39.01770284847539
2019,145378491.359505,33.01668775431486
2020,315779738.539338,117.21214437316556
2021,434974208.185216,37.746079022428944
2022,528356889.07521,21.46855586670342
2023,709373879.37945,34.26036341100358
2024,877948238.141954,23.76382379768063
2030,1031160466.53765,17.45116872948533
