year,Company,Close,ev_sales
2018,NVDA,36.034553437005904,36021731.6984
2018,TSLA,22.951523735409697,36021731.6984
2019,NVDA,43.40192818263221,48137703.027
2019,TSLA,18.235346597338484,48137703.027
2020,LI,23.054722300282236,125366304.718
2020,NVDA,98.63221410517637,125366304.718
2020,TSLA,96.6656888049582,125366304.718
2021,LI,28.326269808269686,170900365.972
2021,NVDA,194.90671960134355,170900365.972
2021,TSLA,259.9981617397733,170900365.972
2022,LI,26.13065742781438,208161506.944
2022,NVDA,185.51073853998074,208161506.944
2022,TSLA,263.09308098416886,208161506.944
2023,LI,31.556222682436484,279531119.23
2023,NVDA,355.1614058048965,279531119.23
2023,TSLA,214.80252368377293,279531119.23
