column,dtype,non_null,null_count,null_pct,n_unique
country_of_residence,str,325,0,0.0,10
area_type,int64,325,0,0.0,3
age_group,float64,313,12,3.6923076923076925,4
annual_income_range_(in_local_currency_equivalent)_please_refer_your_country's_avg._national_income,str,325,0,0.0,4
occupation,str,325,0,0.0,5
do_you_currently_own_a_vehicle,float64,325,0,0.0,2
what_type_of_vehicle_do_you_currently_own,str,325,0,0.0,4
"if_you_own_an_ev,_mention_your_ev_brand",str,325,0,0.0,25
"if_you_do_not_own_an_ev,_are_you_considering_buying_one_in_the_next_2–3_years",float64,325,0,0.0,3
average_daily_driving_distance,int64,325,0,0.0,4
lower_running_cost,float64,179,146,44.92307692307692,5
environmental_benefits,float64,187,138,42.46153846153846,5
government_incentives___subsidies,float64,187,138,42.46153846153846,5
rising_fuel_prices,float64,186,139,42.769230769230774,5
advanced_technology_&_features,float64,186,139,42.769230769230774,5
brand_reputation,float64,186,139,42.769230769230774,5
charging_convenience,float64,186,139,42.769230769230774,5
evs_are_too_expensive,float64,303,22,6.769230769230769,5
charging_infrastructure_is_insufficient,float64,310,15,4.615384615384616,5
battery_replacement_cost_is_high,float64,310,15,4.615384615384616,5
driving_range_is_inadequate,float64,311,14,4.3076923076923075,5
charging_time_is_too_long,float64,313,12,3.6923076923076925,5
ev_resale_value_is_uncertain,float64,313,12,3.6923076923076925,5
limited_service_centers,float64,313,12,3.6923076923076925,5
preferred_ev_price_range,float64,151,174,53.53846153846153,1
minimum_acceptable_driving_range_per_charge,int64,325,0,0.0,4
important_factors_when_choosing_an_ev,str,325,0,0.0,23
have_you_ever_sold_or_considered_selling_an_ev,float64,230,95,29.230769230769234,2
primary_reason_for_resale___consideration,str,325,0,0.0,6
do_you_believe_evs_depreciate_faster_than_petrol_or_diesel_vehicles,int64,325,0,0.0,5
does_strong_ev_sales_increase_your_trust_in_a_company,int64,325,0,0.0,5
would_declining_ev_sales_reduce_your_confidence_in_an_ev_company’s_future,int64,325,0,0.0,5
ev_motivation_score,float64,187,138,42.46153846153846,176
ev_barrier_score,float64,313,12,3.6923076923076925,300
factor_price,int64,325,0,0.0,2
factor_range,int64,325,0,0.0,2
factor_brand,int64,325,0,0.0,2
factor_design,int64,325,0,0.0,2
factor_charging,int64,325,0,0.0,2
ev_adoption_score,float64,179,146,44.92307692307692,40
ev_readiness_score,float64,179,146,44.92307692307692,31
