column,count,mean,std,min,25%,50%,75%,max
area_type,325.0,2.44,0.7202537275840823,1.0,2.0,3.0,3.0,3.0
age_group,313.0,2.792332268370607,1.1315714020607912,1.0,2.0,3.0,4.0,4.0
do_you_currently_own_a_vehicle,325.0,0.9107692307692308,0.28551614347727317,0.0,1.0,1.0,1.0,1.0
"if_you_do_not_own_an_ev,_are_you_considering_buying_one_in_the_next_2–3_years",325.0,0.5815384615384616,0.3688873442455561,0.0,0.5,0.5,1.0,1.0
average_daily_driving_distance,325.0,2.0246153846153847,0.8920137381351491,1.0,1.0,2.0,3.0,4.0
lower_running_cost,179.0,3.7709497206703912,1.1698673182893893,1.0,3.0,4.0,5.0,5.0
environmental_benefits,187.0,3.6310160427807485,1.370856625193904,1.0,3.0,4.0,5.0,5.0
government_incentives___subsidies,187.0,3.06951871657754,1.379762050321729,1.0,2.0,3.0,4.0,5.0
rising_fuel_prices,186.0,3.9516129032258065,1.384400574995844,1.0,3.0,5.0,5.0,5.0
advanced_technology_&_features,186.0,4.064516129032258,1.3258873753720113,1.0,4.0,5.0,5.0,5.0
brand_reputation,186.0,3.661290322580645,1.3348980937369705,1.0,3.0,4.0,5.0,5.0
charging_convenience,186.0,3.704301075268817,1.4232368117699934,1.0,3.0,4.0,5.0,5.0
evs_are_too_expensive,303.0,3.1155115511551155,1.1945753432471071,1.0,2.0,3.0,4.0,5.0
charging_infrastructure_is_insufficient,310.0,3.7096774193548385,1.203918854233573,1.0,3.0,4.0,5.0,5.0
battery_replacement_cost_is_high,310.0,4.051612903225807,1.208350387401206,1.0,3.0,5.0,5.0,5.0
driving_range_is_inadequate,311.0,3.372990353697749,1.189650421642047,1.0,3.0,3.0,4.0,5.0
charging_time_is_too_long,313.0,3.562300319488818,1.3409659068616482,1.0,3.0,4.0,5.0,5.0
ev_resale_value_is_uncertain,313.0,3.97444089456869,1.2139619486134021,1.0,3.0,4.0,5.0,5.0
limited_service_centers,313.0,3.6677316293929714,1.3390631166268743,1.0,3.0,4.0,5.0,5.0
preferred_ev_price_range,151.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
minimum_acceptable_driving_range_per_charge,325.0,2.747692307692308,1.02033456330883,1.0,2.0,3.0,4.0,4.0
have_you_ever_sold_or_considered_selling_an_ev,230.0,0.09565217391304348,0.29475511391434683,0.0,0.0,0.0,0.0,1.0
do_you_believe_evs_depreciate_faster_than_petrol_or_diesel_vehicles,325.0,3.7169230769230768,1.1992241873277842,1.0,3.0,4.0,5.0,5.0
does_strong_ev_sales_increase_your_trust_in_a_company,325.0,3.2153846153846155,1.2849113397418326,1.0,2.0,3.0,4.0,5.0
would_declining_ev_sales_reduce_your_confidence_in_an_ev_company’s_future,325.0,3.563076923076923,1.2145681078099415,1.0,3.0,4.0,5.0,5.0
ev_motivation_score,187.0,3.6768602370175065,1.0215021376605133,1.0,3.128100836297693,3.9336197951334735,4.381734935207811,5.0
ev_barrier_score,313.0,3.6244054815781386,0.9502224827618937,1.0,2.991004964425176,3.776973725514839,4.368545036415335,5.0
factor_price,325.0,0.6123076923076923,0.48797505891147563,0.0,0.0,1.0,1.0,1.0
factor_range,325.0,0.76,0.42774170122044797,0.0,1.0,1.0,1.0,1.0
factor_brand,325.0,0.39384615384615385,0.4893548672843183,0.0,0.0,0.0,1.0,1.0
factor_design,325.0,0.5476923076923077,0.4984877415644526,0.0,0.0,1.0,1.0,1.0
factor_charging,325.0,0.5876923076923077,0.49300905643263426,0.0,0.0,1.0,1.0,1.0
ev_adoption_score,179.0,-0.02021814312317106,1.1726418647432608,-3.428571428571429,-0.5714285714285714,0.0,0.7142857142857144,2.8571428571428568
ev_readiness_score,179.0,1.08956226148986,0.2727288660254497,1.0,1.0,1.0,1.0,2.7241520956165064
