column,q1,q3,iqr,outlier_count
area_type,2.0,3.0,1.0,0
age_group,2.0,4.0,2.0,0
do_you_currently_own_a_vehicle,1.0,1.0,0.0,0
"if_you_do_not_own_an_ev,_are_you_considering_buying_one_in_the_next_2–3_years",0.5,1.0,0.5,0
average_daily_driving_distance,1.0,3.0,2.0,0
lower_running_cost,3.0,5.0,2.0,0
environmental_benefits,3.0,5.0,2.0,0
government_incentives___subsidies,2.0,4.0,2.0,0
rising_fuel_prices,3.0,5.0,2.0,0
advanced_technology_&_features,4.0,5.0,1.0,27
brand_reputation,3.0,5.0,2.0,0
charging_convenience,3.0,5.0,2.0,0
evs_are_too_expensive,2.0,4.0,2.0,0
charging_infrastructure_is_insufficient,3.0,5.0,2.0,0
battery_replacement_cost_is_high,3.0,5.0,2.0,0
driving_range_is_inadequate,3.0,4.0,1.0,22
charging_time_is_too_long,3.0,5.0,2.0,0
ev_resale_value_is_uncertain,3.0,5.0,2.0,0
limited_service_centers,3.0,5.0,2.0,0
preferred_ev_price_range,2.0,2.0,0.0,0
minimum_acceptable_driving_range_per_charge,2.0,4.0,2.0,0
have_you_ever_sold_or_considered_selling_an_ev,0.0,0.0,0.0,0
do_you_believe_evs_depreciate_faster_than_petrol_or_diesel_vehicles,3.0,5.0,2.0,0
does_strong_ev_sales_increase_your_trust_in_a_company,2.0,4.0,2.0,0
would_declining_ev_sales_reduce_your_confidence_in_an_ev_company’s_future,3.0,5.0,2.0,0
ev_motivation_score,3.128100836297693,4.381734935207811,1.2536340989101182,8
ev_barrier_score,2.991004964425176,4.368545036415335,1.377540071990159,0
factor_price,0.0,1.0,1.0,0
factor_range,1.0,1.0,0.0,0
factor_brand,0.0,1.0,1.0,0
factor_design,0.0,1.0,1.0,0
factor_charging,0.0,1.0,1.0,0
ev_adoption_score,-0.5714285714285714,0.7142857142857144,1.2857142857142858,10
ev_readiness_score,1.0,1.0,0.0,0
